id,category,distance,nodes,strnodes
10,trunk,753.921554304838,"[u'1187044372', u'1187044733']",^31.279294^121.2133085^31.283759000000003^121.2073371
11,trunk,753.9215543047432,"[u'1187044733', u'1187044372']",^31.283759000000003^121.2073371^31.279294^121.2133085
12,trunk,163.40512916716781,"[u'1187045195', u'1187044507', u'1187044881', u'1751008985', u'1187044749']",^31.2783553^121.21478090000001^31.2785316^121.21446770000001^31.278826300000002^121.2139908^31.2790817^121.2136068^31.279227799999997^121.2133993
13,trunk,163.40512916733596,"[u'1187044749', u'1751008985', u'1187044881', u'1187044507', u'1187045195']",^31.279227799999997^121.2133993^31.2790817^121.2136068^31.278826300000002^121.2139908^31.2785316^121.21446770000001^31.2783553^121.21478090000001
14,trunk,11.341664495574875,"[u'1187044749', u'1187044372']",^31.279227799999997^121.2133993^31.279294^121.2133085
15,trunk,11.341664495855744,"[u'1187044372', u'1187044749']",^31.279294^121.2133085^31.279227799999997^121.2133993
16,trunk,32.41975175145253,"[u'1187044863', u'1187044978']",^31.285195899999998^121.2054268^31.2853859^121.205168
17,trunk,32.419751751340634,"[u'1187044978', u'1187044863']",^31.2853859^121.205168^31.285195899999998^121.2054268
18,trunk,165.0709389198688,"[u'1187044987', u'1751008982', u'1187045087', u'1187044775', u'499158786']",^31.2790962^121.2132844^31.2789517^121.2134777^31.2786805^121.2138784^31.278397299999998^121.21436940000001^31.278230800000003^121.21469109999998
19,trunk,165.07093891953448,"[u'499158786', u'1187044775', u'1187045087', u'1751008982', u'1187044987']",^31.278230800000003^121.21469109999998^31.278397299999998^121.21436940000001^31.2786805^121.2138784^31.2789517^121.2134777^31.2790962^121.2132844
20,trunk,369.36750677085297,"[u'499158740', u'1187061213', u'499158746', u'1187061157', u'1187061177', u'499158754', u'1187061201', u'1187061232', u'499158759']",^31.2874178^121.19730030000001^31.287443300000003^121.197667^31.2874739^121.1981567^31.2874744^121.19865520000002^31.2874582^121.1991667^31.287421999999996^121.1996538^31.287357699999998^121.2001551^31.287269300000002^121.200655^31.2871701^121.20114540000002
21,trunk,369.3675067708423,"[u'499158759', u'1187061232', u'1187061201', u'499158754', u'1187061177', u'1187061157', u'499158746', u'1187061213', u'499158740']",^31.2871701^121.20114540000002^31.287269300000002^121.200655^31.287357699999998^121.2001551^31.287421999999996^121.1996538^31.2874582^121.1991667^31.2874744^121.19865520000002^31.2874739^121.1981567^31.287443300000003^121.197667^31.2874178^121.19730030000001
22,primary,18.169385581461523,"[u'1187044372', u'499158783']",^31.279294^121.2133085^31.2791592^121.2132
23,primary,18.16938558169964,"[u'499158783', u'1187044372']",^31.2791592^121.2132^31.279294^121.2133085
24,primary,210.13676495263812,"[u'499158783', u'1827278615', u'1455069223']",^31.2791592^121.2132^31.2776882^121.21208^31.2775729^121.21199240000001
25,primary,210.13676495242,"[u'1455069223', u'1827278615', u'499158783']",^31.2775729^121.21199240000001^31.2776882^121.21208^31.2791592^121.2132
26,primary,101.13574538585935,"[u'1455069223', u'1827278612', u'1246570944']",^31.2775729^121.21199240000001^31.2774653^121.2119106^31.276808600000003^121.21141270000001
27,primary,101.1357453860998,"[u'1246570944', u'1827278612', u'1455069223']",^31.276808600000003^121.21141270000001^31.2774653^121.2119106^31.2775729^121.21199240000001
28,primary,28.67830564609081,"[u'1246571058', u'1246571008']",^31.280268^121.21408600000001^31.280055199999996^121.2139148
29,primary,28.67830564621193,"[u'1246571008', u'1246571058']",^31.280055199999996^121.2139148^31.280268^121.21408600000001
30,primary,20.86592395879044,"[u'368906068', u'1246570865']",^31.290616999999997^121.21858290000002^31.2904294^121.2186003
31,primary,20.86592395884276,"[u'1246570865', u'368906068']",^31.2904294^121.2186003^31.290616999999997^121.21858290000002
32,primary,690.7820048008168,"[u'1246571050', u'1246571093', u'1246571073', u'1246570965', u'1246570863', u'1246570826']",^31.280222700000003^121.2141905^31.2844419^121.2175815^31.284712199999998^121.2177787^31.2849929^121.2179739^31.2852946^121.2181603^31.285399699999996^121.2182179
33,primary,690.7820048008839,"[u'1246570826', u'1246570863', u'1246570965', u'1246571073', u'1246571093', u'1246571050']",^31.285399699999996^121.2182179^31.2852946^121.2181603^31.2849929^121.2179739^31.284712199999998^121.2177787^31.2844419^121.2175815^31.280222700000003^121.2141905
34,primary,321.7611335277986,"[u'1246570930', u'1246571007', u'1246570893', u'1246570976', u'625789927', u'2614586200']",^31.285388899999997^121.2180946^31.285325099999998^121.2180543^31.2850409^121.21788390000002^31.284765999999998^121.21768970000001^31.2844972^121.2174928^31.2829588^121.2162535
35,primary,321.7611335275938,"[u'2614586200', u'625789927', u'1246570976', u'1246570893', u'1246571007', u'1246570930']",^31.2829588^121.2162535^31.2844972^121.2174928^31.284765999999998^121.21768970000001^31.2850409^121.21788390000002^31.285325099999998^121.2180543^31.285388899999997^121.2180946
