id,oneway,category,nodes
202,False,service,"[u'1759597739', u'1759597733', u'1759597994', u'1759597715', u'1759597683', u'1759598218', u'1759598074', u'1759598016', u'1759598179', u'1759598050']"
203,False,service,"[u'1759598050', u'1759598179', u'1759598016', u'1759598074', u'1759598218', u'1759597683', u'1759597715', u'1759597994', u'1759597733', u'1759597739']"
204,False,service,"[u'1486922516', u'3878436137', u'3878436134', u'3878436138', u'1759598121']"
205,False,service,"[u'1759598121', u'3878436138', u'3878436134', u'3878436137', u'1486922516']"
206,False,service,"[u'1759598121', u'2695865774', u'1759597736', u'1759597518', u'1759598029']"
207,False,service,"[u'1759598029', u'1759597518', u'1759597736', u'2695865774', u'1759598121']"
208,False,service,"[u'1759598029', u'1759597712', u'1759597779', u'1759597940']"
209,False,service,"[u'1759597940', u'1759597779', u'1759597712', u'1759598029']"
210,False,service,"[u'1759597940', u'1759597554', u'1759597690']"
211,False,service,"[u'1759597690', u'1759597554', u'1759597940']"
212,False,service,"[u'1486922515', u'2717558629', u'2717862472', u'2717862497', u'1759597743']"
213,False,service,"[u'1759597743', u'2717862497', u'2717862472', u'2717558629', u'1486922515']"
214,False,service,"[u'1759597882', u'1759597686', u'1759597544']"
215,False,service,"[u'1759597544', u'1759597686', u'1759597882']"
216,False,service,"[u'1759597544', u'1759597550', u'1759597706']"
217,False,service,"[u'1759597706', u'1759597550', u'1759597544']"
218,False,service,"[u'1759597608', u'1759597781']"
219,False,service,"[u'1759597781', u'1759597608']"
220,False,service,"[u'1759597690', u'1759597643', u'1759597680']"
221,False,service,"[u'1759597680', u'1759597643', u'1759597690']"
222,False,service,"[u'1759597680', u'1759597519', u'1759597951', u'1759597666']"
223,False,service,"[u'1759597666', u'1759597951', u'1759597519', u'1759597680']"
224,False,service,"[u'1759597666', u'1759598173', u'1759597800', u'2717544113', u'2717544102', u'1759597852']"
225,False,service,"[u'1759597852', u'2717544102', u'2717544113', u'1759597800', u'1759598173', u'1759597666']"
226,False,service,"[u'1759597852', u'3878436140', u'3878436133', u'1486922518']"
227,False,service,"[u'1486922518', u'3878436133', u'3878436140', u'1759597852']"
228,False,service,"[u'1759598239', u'1759598176', u'1759598077']"
229,False,service,"[u'1759598077', u'1759598176', u'1759598239']"
230,False,service,"[u'1759598077', u'1759597763']"
231,False,service,"[u'1759597763', u'1759598077']"
232,False,service,"[u'1759598129', u'1759597765', u'1759597838']"
233,False,service,"[u'1759597838', u'1759597765', u'1759598129']"
234,False,service,"[u'1759597957', u'1759598228']"
235,False,service,"[u'1759598228', u'1759597957']"
236,False,service,"[u'1759598228', u'1759597587']"
237,False,service,"[u'1759597587', u'1759598228']"
238,False,service,"[u'1187061183', u'1770649854', u'1759597893']"
239,False,service,"[u'1759597893', u'1770649854', u'1187061183']"
240,False,service,"[u'1759597663', u'1759597938', u'2614583819', u'1759597922', u'1759597621', u'1759597806', u'1759597638']"
241,False,service,"[u'1759597638', u'1759597806', u'1759597621', u'1759597922', u'2614583819', u'1759597938', u'1759597663']"
242,False,service,"[u'1759597638', u'1759597602', u'1759597636']"
243,False,service,"[u'1759597636', u'1759597602', u'1759597638']"
244,False,service,"[u'1759597636', u'1759597932', u'1759597992', u'1759597944', u'2695865761']"
245,False,service,"[u'2695865761', u'1759597944', u'1759597992', u'1759597932', u'1759597636']"
246,False,service,"[u'2695865761', u'1759597957']"
247,False,service,"[u'1759597957', u'2695865761']"
248,False,service,"[u'1759597957', u'2695865768']"
249,False,service,"[u'2695865768', u'1759597957']"
250,False,service,"[u'2695865768', u'1759597963', u'2695865773']"
251,False,service,"[u'2695865773', u'1759597963', u'2695865768']"
252,False,service,"[u'2695865773', u'1759597896', u'1759597973', u'1759598153', u'1759598170', u'1759597979']"
253,False,service,"[u'1759597979', u'1759598170', u'1759598153', u'1759597973', u'1759597896', u'2695865773']"
254,False,service,"[u'1759598050', u'1759598239']"
255,False,service,"[u'1759598239', u'1759598050']"
256,False,service,"[u'1759597836', u'1759598024', u'1759597595']"
257,False,service,"[u'1759597595', u'1759598024', u'1759597836']"
258,False,service,"[u'1759597595', u'1759598162', u'1759598094', u'1759597597']"
259,False,service,"[u'1759597597', u'1759598094', u'1759598162', u'1759597595']"
260,False,service,"[u'1759597597', u'1759597818']"
261,False,service,"[u'1759597818', u'1759597597']"
262,False,service,"[u'1759597818', u'1759597982', u'1759597535', u'2703796564', u'2703797226']"
