origin_id,lat,lon,new_id
1486844826,31.2849065,121.2117651,372
1486844830,31.2849565,121.2116278,373
1486844831,31.2849636,121.2117350,374
1486844832,31.2849812,121.2118656,375
1486844833,31.2850236,121.2119785,376
1486844835,31.2850765,121.2120738,377
1486844836,31.2850937,121.2113907,378
1486844837,31.2851189,121.2121903,379
1486844838,31.2851401,121.2122856,380
1486844841,31.2851365,121.2127888,381
1486844842,31.2851436,121.2112509,382
1486844843,31.2851636,121.2111411,383
1486844844,31.2851861,121.2110513,384
1486844845,31.2852001,121.2121762,385
1486844846,31.2852566,121.2120915,386
1486844847,31.2852791,121.2109272,387
1486844850,31.2853342,121.2120420,388
1486844852,31.2853857,121.2108591,389
1486844853,31.2854842,121.2108133,390
1486844854,31.2855072,121.2119997,391
1486844855,31.2855696,121.2117047,392
1486844857,31.2855802,121.2115600,393
1486844858,31.2855908,121.2118318,394
1486844859,31.2856004,121.2107867,395
1486844862,31.2856297,121.2114188,396
1486844864,31.2856367,121.2119412,397
1486844865,31.2856755,121.2113200,398
1486844866,31.2857426,121.2107817,399
1486844867,31.2857461,121.2112353,400
1486844869,31.2858178,121.2117350,401
1486844870,31.2858672,121.2117244,402
1486844871,31.2858949,121.2107668,403
1486844872,31.2859156,121.2110659,404
1486844873,31.2859166,121.2117350,405
1486844875,31.2859960,121.2107286,406
1486844876,31.2860331,121.2118232,407
1486844877,31.2860871,121.2106794,408
1486844878,31.2861167,121.2109141,409
1486844880,31.2861744,121.2106095,410
1486844883,31.2862368,121.2107891,411
