id,from,to,cost
174,1600,4221,655.4753283694637
175,4221,1600,655.4753283695442
176,4221,1469,74.4226759013142
177,1469,4221,74.42267590136973
178,1469,1492,271.6848222892291
179,1492,1469,271.6848222893106
180,1606,1564,72.68950898244718
181,1564,1606,72.68950898205031
182,1564,1475,70.42859269063543
183,1475,1564,70.42859269071317
184,1475,1651,109.36336179951105
185,1651,1475,109.3633617995521
186,1651,1441,17.94394803114157
187,1441,1651,17.94394803096737
188,1441,1679,52.413407347615674
189,1679,1441,52.41340734779826
190,1690,1655,34.792813709138954
191,1655,1690,34.792813709133576
192,1665,1452,137.07355590904922
193,1452,1665,137.07355590910174
194,1452,1589,129.668971330432
195,1589,1452,129.66897133044301
196,1589,1442,10.342527762513027
197,1442,1589,10.342527762151867
198,1442,1560,137.82063197654526
199,1560,1442,137.82063197635293
200,1560,1501,67.25444356193464
201,1501,1560,67.25444356226474
202,1501,1634,268.3342515466101
203,1634,1501,268.3342515467141
204,739,1654,101.35364280684344
205,1654,739,101.35364280735676
206,1654,1628,306.279797320319
207,1628,1654,306.27979731988
208,1628,1586,125.32644338435487
209,1586,1628,125.32644338414451
210,1586,1485,100.22332637543352
211,1485,1586,100.22332637530157
212,738,1503,159.45185903589513
213,1503,738,159.4518590359441
214,1560,1416,151.45629410967223
215,1416,1560,151.45629410965444
216,1416,1486,67.8283988188244
217,1486,1416,67.82839881917243
218,1447,1519,24.054422303586154
219,1519,1447,24.0544223035535
220,1485,1481,99.43423586592236
221,1481,1485,99.43423586596157
222,1481,1472,124.43005529583463
223,1472,1481,124.43005529599444
224,1472,1549,302.9151783622029
225,1549,1472,302.9151783623579
226,1549,741,101.43512168071359
227,741,1549,101.43512168023668
228,1692,1642,131.05993797494995
229,1642,1692,131.05993797464458
230,1642,1507,99.8453690975136
231,1507,1642,99.8453690974959
232,1657,1541,186.9376469333439
233,1541,1657,186.93764693276626
234,1595,1688,102.14618133537137
235,1688,1595,102.14618133537829
236,1688,1437,10.794855123563456
237,1437,1688,10.794855123554001
238,38,1565,61.19961419743642
239,1565,38,61.199614198106204
240,1469,1462,132.81726456872343
241,1462,1469,132.81726456882615
242,1462,1461,138.22991950453317
243,1461,1462,138.22991950417702
244,1461,2122,126.67141566296179
245,2122,1461,126.67141566286652
246,2122,1595,12.598931877157463
247,1595,2122,12.598931876939053
248,1595,2129,11.472883550952007
249,2129,1595,11.472883550905069
250,2129,2133,31.73516579304533
251,2133,2129,31.73516579294009
252,2133,1605,195.26202749615769
253,1605,2133,195.26202749612537
254,1634,1692,25.47845970242655
255,1692,1634,25.478459702467326
256,1540,1441,102.56911586264002
257,1441,1540,102.56911586289827
258,1441,1442,145.2976644471611
259,1442,1441,145.29766444744033
260,1442,1535,149.6513411508178
261,1535,1442,149.65134115081662
262,1535,2659,117.25628850891138
263,2659,1535,117.25628850907222
264,2659,1531,16.427352421189028
265,1531,2659,16.427352421246177
266,1526,2658,15.320161808627052
267,2658,1526,15.320161808853946
268,2658,1512,117.37305215000957
269,1512,2658,117.37305214973176
270,1512,1589,148.97778398172733
271,1589,1512,148.977783981728
272,1589,1651,141.2242513915509
273,1651,1589,141.22425139182909
274,1651,1540,102.14276156488684
275,1540,1651,102.14276156511947
276,1429,735,159.73808219128298
277,735,1429,159.73808219160716
278,1481,1586,11.017438230768828
279,1586,1481,11.017438230760092
280,1586,1462,118.67913732985731
281,1462,1586,118.67913732994916
282,1462,1425,112.67387209255129
283,1425,1462,112.67387209249634
284,710,1470,146.93687677816354
285,1470,710,146.93687677709337
286,1655,1472,208.37637806444118
287,1472,1655,208.37637806432917
288,1472,1628,13.564376022548034
289,1628,1472,13.564376022644408
290,1628,1461,121.42505969866572
291,1461,1628,121.42505969863262
292,1491,1587,358.54259816444085
293,1587,1491,358.5425981628303
294,1565,1434,9.533842059878909
295,1434,1565,9.533842060116667
296,1503,1526,27.87249020714213
297,1526,1503,27.872490207019162
298,1564,1665,148.94431933691592
299,1665,1564,148.94431933692664
300,1665,3956,75.36549036896331
301,3956,1665,75.36549036896443
302,3956,1541,68.97535339849257
303,1541,3956,68.97535339849242
304,1414,1686,99.33370886051244
305,1686,1414,99.33370886039567
306,1686,1470,127.25210433970713
307,1470,1686,127.25210433962827
308,1470,812,444.8208257671663
309,812,1470,444.8208257674394
310,1619,1540,144.12152214495987
311,1540,1619,144.1215221445574
312,1606,1563,24.77427474678689
313,1563,1606,24.774274746199318
314,1563,1593,63.73591069023483
315,1593,1563,63.73591068985978
316,1593,1451,58.90027826968638
317,1451,1593,58.9002782692716
