id,from,to,cost,nodes
336,1759597985,1759597542,18.843370065913348,"[u'1759597985', u'1759598154', u'1759598053', u'2717390053', u'1759597542']"
337,1759597542,1759597985,18.84337006591145,"[u'1759597542', u'2717390053', u'1759598053', u'1759598154', u'1759597985']"
338,1759597542,1759598126,22.58966495138687,"[u'1759597542', u'1759597626', u'1759598039', u'1759598083', u'1759598126']"
339,1759598126,1759597542,22.589664951364092,"[u'1759598126', u'1759598083', u'1759598039', u'1759597626', u'1759597542']"
340,1759598197,1759597706,113.42791174218593,"[u'1759598197', u'1759598138', u'1759597661', u'1759597512', u'1759598033', u'1759597706']"
341,1759597706,1759598197,113.42791174233153,"[u'1759597706', u'1759598033', u'1759597512', u'1759597661', u'1759598138', u'1759598197']"
342,1759597623,1759597965,49.720859750155505,"[u'1759597623', u'1759597767', u'1759597622', u'1759597965']"
343,1759597965,1759597623,49.720859750308776,"[u'1759597965', u'1759597622', u'1759597767', u'1759597623']"
344,1759597965,1759597981,85.11325267737666,"[u'1759597965', u'1759597854', u'1759597773', u'1759598222', u'1759597981']"
345,1759597981,1759597965,85.11325267690488,"[u'1759597981', u'1759598222', u'1759597773', u'1759597854', u'1759597965']"
346,1759597584,3878436132,14.795831195966727,"[u'1759597584', u'3878436132']"
347,3878436132,1759597584,14.795831195867484,"[u'3878436132', u'1759597584']"
348,1759597813,1759597571,27.451692242292463,"[u'1759597813', u'1759597571']"
349,1759597571,1759597813,27.45169224232389,"[u'1759597571', u'1759597813']"
350,1759597737,1759597726,545.7975199841371,"[u'1759597737', u'1759597842', u'1759597726']"
351,1759597726,1759597737,545.7975199841206,"[u'1759597726', u'1759597842', u'1759597737']"
352,1759597726,1759597674,9.959411740645233,"[u'1759597726', u'1759597674']"
353,1759597674,1759597726,9.959411740644853,"[u'1759597674', u'1759597726']"
354,1759598197,1759597544,76.68900845966816,"[u'1759598197', u'1759597544']"
355,1759597544,1759598197,76.6890084597373,"[u'1759597544', u'1759598197']"
356,1759597581,1486922499,222.22628913622478,"[u'1759597581', u'2717807845', u'1759598062', u'1759597768', u'1759597591', u'1759597645', u'1759597641', u'1759598035', u'1759597859', u'1759597545', u'2717421805', u'1759597939', u'1759597983', u'1486922499']"
357,1486922499,1759597581,222.22628913588477,"[u'1486922499', u'1759597983', u'1759597939', u'2717421805', u'1759597545', u'1759597859', u'1759598035', u'1759597641', u'1759597645', u'1759597591', u'1759597768', u'1759598062', u'2717807845', u'1759597581']"
358,499158759,1187045165,431.7033636376159,"[u'499158759', u'1187061170', u'499158764', u'1187061261', u'499158768', u'1187061218', u'1187061187', u'499158775', u'499158780', u'1187045165']"
359,1187045165,499158759,431.7033636371367,"[u'1187045165', u'499158780', u'499158775', u'1187061187', u'1187061218', u'499158768', u'1187061261', u'499158764', u'1187061170', u'499158759']"
360,1797189479,1759597674,139.46348144666393,"[u'1797189479', u'1797189475', u'1797189476', u'1797189477', u'1797189478', u'1797189480', u'1797189482', u'1797189483', u'1797189484', u'3879204088', u'1759597674']"
361,1759597674,1797189479,139.46348144610465,"[u'1759597674', u'3879204088', u'1797189484', u'1797189483', u'1797189482', u'1797189480', u'1797189478', u'1797189477', u'1797189476', u'1797189475', u'1797189479']"
362,1759597945,1797189456,344.18540846393,"[u'1759597945', u'1759597667', u'1797189472', u'1797189471', u'1797189470', u'1759598226', u'1759597934', u'1797189469', u'1797189468', u'1797189467', u'1759597811', u'1759597670', u'2717907288', u'2717907138', u'1797189464', u'1797189462', u'1797189459', u'1797189453', u'1797189450', u'1797189447', u'1797189444', u'1797189441', u'1797189446', u'1797189452', u'1797189454', u'1797189458', u'1797189456']"
363,1797189456,1759597945,344.1854084638614,"[u'1797189456', u'1797189458', u'1797189454', u'1797189452', u'1797189446', u'1797189441', u'1797189444', u'1797189447', u'1797189450', u'1797189453', u'1797189459', u'1797189462', u'1797189464', u'2717907138', u'2717907288', u'1759597670', u'1759597811', u'1797189467', u'1797189468', u'1797189469', u'1759597934', u'1759598226', u'1797189470', u'1797189471', u'1797189472', u'1759597667', u'1759597945']"
